Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO
At the ’52 Olympics,legendary Czech athlete Emil Zatopek won what event despite having never even tried it before?	MARATHON
Besides Sydney,what is the only other city in the Southern Hemisphere to host the Olympic Games?	MELBOURNE
On the official Olympic flag,the two rings that are farthest to the right are what two colors?	RED AND GREEN
Due to its marine-inspired roof,critics and fans alike have given London’s Olympic aquatic center what nickname?	THE STINGRAY
Not including any won in London in 2012,how many Olympic medals has Team U.S.A. won overall?	2,550 *CORRECT*
Which of these cities is listed in the correct chronological order in which they hosted the Summer Olympic Games?	SEOUL,BARCELONA,ATLANTA
Competiting with an artificial leg,American George Eyser won 3 gold medals at the 1904 St. Louis Olympics in what sport?	GYMNASTICS
To calm himself before his dives,Olympic gold medalist Greg Louganis often told himself, “No matter how I do,” what?	MY MOTHER WILL STILL LOVE ME
Though it’s incredibly competitive today,what Olympic sport was invented in 1895 as a casual game for older people?	VOLLEYBALL
Slightly shorter than its current length,the first modern Olympic marathon in 1896 was roughly how many meters long?	40,000 *CORRECT*
What philosopher is believed to have been a two-time Olympic champion in pankration,a brutal mix of wrestling and boxing?	PLATO
In a heartbreak in 2008,U.S. Olympian and favorite Lolo Jones led the race before tripping in what event’s finals?	100 METER HURDLES
Thanks to an incredible come-from-behind sprint in 1964,Billy Mills is the only American gold medal winner of what Olympic event?	10,000 METERS *CORRECT*
Why do Olympic divers usually take a shower after completing each dive?	KEEPS MUSCLES WARM
Somewhat paradoxically,the Olympic archery command that tells the archer to stop shooting is what?	FAST
Besides her incredible speed,track star gold medalist Gail Devers was known for sporting what distinctive feature during races?	LONG FINGERNAILS
Thanks to one rower and one archer,what U.S. state is sending the most Olympic athletes per capita to London in 2012?	WYOMING
A popular Christmas gift,the Chia Gourmet Herb Garden comes with all but which of these seeds?	ROSEMARY
Issued in 1934 for use by Federal Reserve banks,the $100,000 bill features what U.S. president?	WOODROW WILSON
Now used to mean “gossip,” “scuttlebutt” was originally a nautical term referring to what ship term?	CASK OF WATER
Frustrating to home bakers,the carrots in your carrot cake can turn green if there is too much what in the batter?	BAKING SODA
What novel was written after its author bet he could write a bigger bestseller than “Treasure Island”?	KING SOLOMON’S MINES
During World War II,what did citizens of occupied Norway wear as a symbol of resistance?	PAPER CLIPS
What artist is prominently mentioned in T.S. Eliot’s poem “The Love Song of J. Alfred Prufrock”?	MICHELANGELO
What scientist first determined that human sight results from images projected onto the retina?	JOHANNES KEPLER
According to its director,the grumpy old man in “Up” was based in part on which of these real-life grumps?	WALTER MATTHAU
What is the translation of “Pravda,” the name of the daily newspaper of the former Soviet Union?	TRUTH
Broadcast on NBC in 1941,the first-ever U.S. TV commercial featured the advertising slogan “America Runs on” what?	BULOVA TIME
Though based in New York for decades,fashion icon Oscar de la Renta originally hails from what country?	DOMINICAN REPUBLIC
In a fireworks display,which of these elements is commonly used to produce bright green colors?	BARIUM
“Take Five,” the title of Dave Brubeck’s best known jazz recording,slyly refers to what fact about the song?	IT IS IN 5/4 TIME
What does the “M” stand for in “RMS Titanic,” the full name of the historic ship that sank in 1912?	MAIL
In addition to his many inventions,Thomas Edison is also credited with establishing what American custom?	“HELLO” TELEPHONE GREETING
Which of these girls’ names has never appeared in the title of a film that won the Oscar for Best Picture?	MARY
On average,each member of the U.S. House of Representatives represents how many people?	700,000 *CORRECT*
Despite its nickname,Howard Hughes’s “Spruce Goose” was a giant airplane built mainly out of what wood?	BIRCH
Chronicling his 8,000-mile trek through South America,”The Motorcycle Diaries” is what famous figure’s mentor?	CHE GUEVARA
Despite publishing under a male pseudonym,which of these classic authors was actually a woman?	GEORGE ELIOT
Which of these plants is a well-known example of a “living fossil,” the last surviving species of its family?	GINKGO BILOBA
Though he still became a rock icon,what guitarist once lost half of his middle finger in a wood-chopping accident?	JERRY GARCIA
In a 1971 hit song,Tom Jones sings “Whoa!Whoa!Whoa! She’s a ” what?	LADY
A hellbender is a variety of what animal?	SALAMANDER
Which of the Seven Wonders of the Ancient World was built first?	PYRAMIDS AT GIZA
Stretching from Georgia to Maine,the Appalachian Trail does not pass through which of these states?	SOUTH CAROLINA
A popular story involving Christopher Columbus features the explorer standing what object on its end?	AN EGG
Which of these common automobile features was invented by a woman?	WINDSHIELD WIPER
Before breaking into Hollywood,Ronald Reagan worked as a radio sportscaster,calling games for what MLB team?	CHICAGO CUBS
The alligator is naturally found in the United States and what other country?	CHINA
In Disneyland’s ride “It’s a Small World,” animatronic dolls sing the title song in all but which of these languages?	FRENCH
Which of these playthings is produced by combining boric acid and silicone oil?	SILLY PUTTY
What world landmark features 56 pits called “Aubrey Holes,” which were once filled with cremated bones?	STONEHENGE
As a high school student,”Lethal Weapon” producer Joel Silver helped invent which of these games?	ULTIMATE FRISBEE
Which of these brands of sweets is credited as being the first individually wrapped “penny candy”?	TOOTSIE ROLLS
What prolific author holds a 2010 Guinness record for “Most Entries on The New York Times Best-Seller List”?	JAMES PATTERSON
Which of these international cities is not currently the capital of its country?	BELIZE CITY
The Census 2010 questionnaire was available in all but which of these languages?	FRENCH
By definition,an anchorite has retired into seclusion usually for what reason?	RELIGIOUS BELIEFS
Longtime congressman Henry Waxman’s distinctive grooming has earned him what cheeky nickname?	THE MUSTACHE OF JUSTICE
In the context of the classic 1961 novel “Catch-22,” Catch-22 is a what?	MILITARY REGULATION
Which of these countries has an element named after it?	POLAND
What artist depicted his close friend’s furniture in the 1888 painting “Paul Gauguin’s Armchair”?	VINCENT VAN GOGH
Held annually in February,what country celebrates “National Pisco Sour Day,” in observance of their national drink?	PERU
According to Doris Roberts,”Everybody Loves Raymond” doesn’t air in what country because her character is “too strong”?	IRAQ
Before he was famous,which of these actors played a ‘roid-raging high school football player on a 1994 after-school special?	BEN AFFLECK
What weather term was coined in a 1939 dissertation by Antarctic explorer Paul Siple?	WIND CHILL
As of 2011,only Vermont and what other U.S. state allow prison inmates to vote in elections?	MAINE
“King of night vision/King of insight” is a lyric in an Indigo Girls song titled what?	GALILEO
Melanite is a deep-black variety of what gemstone?	GARNET
Where did Paul McCartney and John Lennon first meet?	IN A CHURCH
Once used by Native Americans as a form of currency,wampum was made from what?	POLISHED SHELLS
Which of these classic novels had a first draft that was eaten by the author’s dog in 1936?	OF MICE AND MEN
What classic film opens with the line,”I believe in America”?	THE GODFATHER
In “This Is Spinal Tap,” the titular band mentions they once tried to write a rock musical based on the life of whom?	JACK THE RIPPER
The potent drink absinthe was once believed to have hallucinatory effects because it is made from what?	WORMWOOD
Which of these ships was not one of the three taken over by colonists during the Boston Tea Party?	WILLIAM
The phrase “the real McCoy” is thought to come from “the real Mackay,” which in Scotland has long referred to a type of what?	WHISKEY
Counterculture icon Timothy Leary was the godfather of what Hollywood actress?	WINONA RYDER
Built in 1752,the world’s oldest existing zoo is located in what European city?	VIENNA
By definition,tephrochronology is a scientific technique to date old objects by examining the age of what?	VOLCANIC ASH
The majority of what planet’s twenty-seven moons are named after Shakespearean characters?	URANUS
Whereas a group of crows is known as a “murder,” what word is used to describe a group of ravens?	UNKINDNESS
Like “The Sopranos,” which of these classic sitcoms was also set in New Jersey?	CHARLES IN CHARGE
Going above and beyond the call of duty,what “Grey’s Anatomy” doctor once donated part of their liver to another character?	MEREDITH
In the “Star Trek” episode “Whom Gods Destroy,” Captain Kirk famously smooches a green alien seductress named what?	MARTA
Given his love of beer,it should come as no surprise that “Family Guy” patriarch Peter Griffin has what middle name?	LOWENBRAU
As of 2012,”The Amazing Race” has featured “Pit Stops” in all but which of these Asian countries?	LAOS
Winning 13 altogether,which of the following titles holds the record for most Emmy wins for a TV miniseries,as of 2012?	JOHN ADAMS
During his 1992 appearance on “The Arsenio Hall Show,” Bill Clinton played what classic song on the saxophone?	HEARTBREAK HOTEL
On “Gilligan’s Island,” it is revealed that Ginger Grant was set to star in what play before being shipwrecked on the island?	A PYRAMID FOR TWO
According to Bill Cosby,instead of an attorney,Clair Huxtable was originally going to be a Dominican woman who worked as a what?	PLUMBER
The dramatic 1967 series finale of “The Fugitive” culminates with Dr.Kimble fighting the one-armed man in what loaction?	AMUSEMENT PARK
Which of these classic TV catchphrases was never actually uttered verbatim on the show it’s associated with?	BEAM ME UP, SCOTTY!
Nine years before the Oscars did it,the Emmys became the first major awards show to be broadcast in color in what year?	1957 *CORRECT*
The top four most-watched sitcom finales of all time include all but which of the following?	THE COSBY SHOW
In his thirty-eight year career,Big Bird has appeared on all but which of these game shows?	WHEEL OF FORTUNE
“I am not taking a pig to the Dairy Queen!” is a quote from Anthony on “Designing Women” in reference to what character’s pet?	SUZANNE
Which of these long-running programs began as a radio show in 1945,making the jump to television two years later?	MEET THE PRESS
In season 5 of “Dancing With The Stars,” Marie Osmond famously fainted after performing what fast-paced dance?	SAMBA
Before achieving fame in Hollywood,Brad Pitt,Matthew Perry and Hilary Swank all appeared on what ’80s sitcom?	GROWING PAINS
Though it’s nothing to laugh at,a running gag involving misdiagnoses on “House” spawned what catchphrase?	“IT’S NEVER LUPUS”
When he stumbled onto the set,a real-life criminal on the run once surrendered to actors dressed as cops on what TV show?	HOMICIDE: LIFE ON THE STREET
Which of these classic TV tough guy characters spoke both French and Vietnamese?	THOMAS MAGNUM
The theme song for a popular ’70s sitcom lists all but which of these historical women,noting “And then there’s Maude”?	CATHERINE THE GREAT
The year after she won an Emmy, who withdrew from the Emmys,saying her “material” did not warrant another nomination?	KATHERINE HEIGL
In the last season of “MacGyver,” a dream sequence reveals MacGyver’s first name to be what?	ANGUS
After the pilot, “The Flagstones” were changed to “The Flintstones” to avoid confusion with characters in what comic strip?	HI AND LOIS
In a ratings stunt,what legal drama once had viewers call a 900 number to determine the guilty party?	MATLOCK
On an episode of “Night Court,” it is revealed that Bull’s IQ,which looks the same turned upside down,is what?	181 *CORRECT*
The finale of “The Fresh Prince of Bel-Air” features characters from which of these sitcoms as potential buyers of the Banks’s home?	DIFF’ RENT STROKES
In an Emmy acceptance speech,who once joked, “This is all very well and good,but I’m still bald”?	LARRY DAVID
Though it was never spoken,the badge of TV detective “Columbo” revealed his first name to be what?	FRANK
